 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;1700021;ALTTAN DİKME DÜĞME;21mm;34;4;12;;;;;;
;1700015;ALTTAN DİKME DÜĞME;15mm;24;1.4;16;;;;;;
;1700023;ALTTAN DİKME DÜĞME;23 mm;37;4.4;10;;;;;;
;1701013;ALTTAN DİKME DÜĞME;13 mm;21;1;24;;;;;;
;1702010;ALTTAN DİKME DÜĞME;10mm;16;0.8;20;;;;;;
;1702012;ALTTAN DİKME DÜĞME;12mm;20;1.4;20;;;;;;
;1702015;ALTTAN DİKME DÜĞME;15mm;24;2.8;16;;;;;;
;1702020;ALTTAN DİKME DÜĞME;20mm;32;6GR;12;;;;;;
;1703012;AYAR;12 mm;19;0.85;32;;;;;;
;1704008;AYAR;08 mm;13;0.45;42;;;;;;
;1705007;HALKA;07 mm;11;0.3;48;;;;;;
;1706006;AYAR;06 mm;10;0.13;40;;;;;;
;1707009;AYAR;09 mm;14;0.6;48;;;;;;
;1708014;ALTTAN DİKME DÜĞME;14 mm;22;2.15;12;;;;;;
;1709008;ALTTAN DİKME DÜĞME;08 mm;13;0.7;40;;;;;;
;1710010;AYAR;10 mm;16;0.7;32;;;;;;
;1711015;AYAR;15 mm;24;0.8;16;;;;;;
;1712019;AYAR;19 mm;30;0.7;24;;;;;;
;1713016;AYAR;16 mm;26;0.7;16;;;;;;
;1714015;AYAR;15 mm;24;2.8;12;;;;;;
;1715012;ALTTAN DİKME DÜĞME;12 mm;19;1.8;28;;;;;;
;1716015;ALTTAN DİKME DÜĞME;15 mm;24;3.2;14;;;;;;
;1717017.5;ALTTAN DİKME DÜĞME;17,5 mm;28;2.28;24;;;;;;
;1718015;TOKA;15 mm;24;4.8;6;;;;;;
;1719025;TOKA;25 mm;40;9.7;4;;;;;;
;1720020;ALTTAN DİKME DÜĞME;20 mm;32;2.5;BELİRTİLMEMİŞ;;;;;;
;1721010.7;ALTTAN DİKME DÜĞME;10,70mm;18;1,10.;48 ;;;;;;
;1721016;ALTTAN DİKME DÜĞME;16 mm;26;3,29.;12;;;;;;
YOK;1722016;TOKA;16 mm;26;0.7;16;;;;;;
YOK;1723011;TOKA;15 mm;24;4.7;8;;;;;;
;1724008;ALTTAN DİKME DÜĞME;08 mm;13;0.9;40;;;;;;
;1725045;TOKA;45 mm;72;15.7;2;;;;;;
;1726008;ALTTAN DİKME DÜĞME;08 mm;13;0.5;?;;;;;;
;1727040;TOKA;40 mm;64;7.8;8;;;;;;
;1728015;ALTTAN DİKME DÜĞME;12mm;19;1.1;32;;;;;;
;1728012;ALTTAN DİKME DÜĞME;12 mm ;24;3.1;24;;;;;;
;172907.5;ALTTAN  DİKME DÜĞME;8 mm;13;0.5;40;;;;;;
;1730030;TOKA;30 mm;;4.4;4;;;;;;
;1731014;ALTTAN DİKME DÜĞME;14 mm;22;1.9;28;;;;;;
;1732040;TOKA;40 mm;;24.5;2;;;;;;
;1733040;TOKA;40 mm;;18.4;6;;;;;;
;1734040;TOKA;40 mm;;15.8;6;;;;;;
;1735050;TOKA;50mm;56 taş;8,7.;;;;;;;
;1735060;TOKA;60 mm;68 taş;10.3;8;;;;;;
;1736030;TOKA;30 mm;;16.4;BELİRTİLMEMİŞ;;;;;;
;1737043;TOKA;43mm;;7;3;;;;;;
;1737075;TOKA;75mm;;36.4;2;;;;;;
;1737063;TOKA;63mm;;10.38;2;;;;;;
;1738015;TOKA;15 mm;;1.7;8;;;;;;
;1739;TOKA;;;1.7;12;;;;;;
;1740015;TOKA;15 mm;;1;12;;;;;;
;1741023;ALTTAN DİKME DÜĞME;23mm;;3;12;;;;;;
;1741025;ALTTAN DİKME DÜĞME; 25 mm;37;3.8;10;E;;;;;
;1742021;TOKA;21 mm;34;3.6;8;;;;;;
;1743010;ÜSTTEN DİKME DÜĞME;10 mm;16;0.6;48;;;;;;
;1744040;TOKA;40 mm;64;12.3;BELİRTİLMEMİŞ;E;;;;;
;1745820;BAĞ UCU;20 mm;32;2.44;12 / 12 Ayrı kalıptalar;;;;;;
;1746020;ALTTAN DİKME DÜĞME;20mm;32;3;12;;;;;;
;1746023;ALTTAN DİKME DÜĞME;23mm;37;3.3;12;;;;;;
;1746025;ALTTAN DİKME DÜĞME; 25 mm;40;4.5;10;;;;;;
;1747022/25;TOKA;22 mm / 25 mm;35 Boy / 40 Boy ;13.38;8;;;;;;
;1748910;ÜSTTEN DİKME DÜĞME;10 mm;16;0.81;42;;;;;;
;1749035;TOKA;35 mm;56;21.2;2;;;;;;
;1750070;TOKA;70 mm;112;24.4;2;;;;;;
;1751021;ALTTAN DİKME DÜĞME;21 mm;34;3.3;20/16GÖZ;;;;;;
;1752723;ÇIT ÇIT;23mm;36 boy;3,93.;10;;;;;;
;1752025;ALTTAN DİKME DÜĞME;25mm;40;4.2;10;;;;;;
;1752023;ALTTAN DİKME DÜĞME;23 mm ;36;3.4;10 ;;;;;;
;1753020;ALTTAN DİKME DÜĞME;20 mm;32;2.9;20;;;;;;
;1754022;ALTTAN DİKME DÜĞME;22 mm;34;3.3;20;;;;;;
;1755012;ÜSTEN DİKME DÜĞME;12 mm;20;1.1;42;;;;;;
;1755912;ÜSTTEN DİKME DÜĞME;12 mm;20;1.1;42;;;;;;
;1756040;PİERCİNG;40 mm;;7.8;10     8;;;;;;
;1756050;TOKA;50mm;;8,516.;8;;;;;;
;1757020;TOKA;20 mm;32;12.9;8;;;;;;
;1758040;TOKA;40 mm;64;13;8;;;;;;
;1759018;TOKA;18 mm;29;1.3;12;;;;;;
;1760018;TOKA;18 mm;29;1.1;16;;;;;;
;1761005;TOKA;05 mm;8;1;50;;;;;;
;1762050;TOKA;50 mm;80;10.1;4;;;;;;
;1763010;TOKA;10 mm;16;0.9;20;;;;;;
;1764009;TOKA;09 mm;14;1.2;20;;;;;;
;1765715.4;ÇIT ÇIT;16 mm;26;2.2;34;;;;;;
;1766010;TOKA;10 mm;16;1.2;20;;;;;;
;1767616;ÇAKMA DÜĞME;16 mm;26;2.6;10;;;;;;
;1768033;TOKA;33 mm;53;8.8;8;;;;;;
;1769022;ALTTAN DİKME DÜĞME;22mm;36;3.15;12;;;;;;
;1769017;ALTTAN DİKME DÜĞME;17mm;28;1.91;12;;;;;;
;1769015;ALTTAN DİKME DÜĞME;15mm;22;1.34;16/17;;;;;;
;1770015;ALTTAN DİKME DÜĞME;15mm;24;1.73;20;;;;;;
;1770017;ALTTAN DİKME DÜĞME;17mm;28;1.67;12;;;;;;
;1770020;ALTTAN DİKME DÜĞME;20mm;32;2.4;12;;;;;;
;1770022;ALTTAN DİKME DÜĞME;23mm;34;3.04;12;;;;;;
;1770023;ALTTAN DİKME DÜĞME;23mm;36;4.18;10;;;;;;
;1735050;TOKA;50 mm;80;8.4;8;;;;;;
;"1700023
 (ESKİ KALIP YENİ BOY)";ALTTAN DİKME DÜĞME;23 mm;37;?;?;;;;;;
;1700015;ALTTAN DİKME DÜĞME;15 mm;24;?;?;;;;;;
;1771014;TOKA;14 mm;22;1;16;;;;;;
;1772017;ALTTAN DİKME DÜĞME;17 mm;27;2.9;24;;;;;;
;1773010;TOKA;10 mm;16;1.9;8;;;;;;
;1774043;TOKA;43 mm;69;34;4;;;;;;
;1775057;TOKA;57mm;;23.07;4;;;;;;
;1775050;TOKA;50mm;;21,70.;4;;;;;;
;1775030;TOKA;30 mm;48;9.3;4;;;;;;
;1776040;TOKA;40 mm;64;2;20;;;;;;
;1777025;ALTTAN DİKME DÜĞME;25 mm;40;5.2;4;;;;;;
;1778012;ALTTAN DİKME DÜĞME;13mm;20;1.2;32;;;;;;
;1778024;ALTTAN DİKME DÜĞME;24mm;38;6.1;16;;;;;;
;1778015;ALTTAN DİKME DÜĞME;15mm;24;1.7;24;;;;;;
;1778020;ALTTAN DİKME DÜĞME;20mm;32;3.5;20;;;;;;
;1778017;ALTTAN DİKME DÜĞME;17mm;28;2.7;?;;;;;;
;1779910;ÜSTTEN DİKME DÜĞME;10 mm;16;0.6;40;;;;;;
;1780020;ALTTAN DİKME DÜĞME;20mm;32;2.88;12;;;;;;
;1780023;ALTTAN DİKME DÜĞME;23mm;36;3.93;12;;;;;;
;1780720;ÇIT ÇIT;20 mm;32;2.8;12;;;;;;
;1781020;ALTTAN DİKME DÜĞME;20mm;32;3.83;12;;;;;;
;1781017;ALTTAN DİKME DÜĞME;17 mm;28;1,7486.;40;;;;;;
;1782009;ALTTAN DİKME DÜĞME;09 mm;14;1.07;20;;;;;;
;1783015;ALTTAN DİKME DÜĞME;15mm;24;1.44;16;;;;;;
;1783017;ALTTAN DİKME DÜĞME;17mm;28;2.11;12;;;;;;
;1783020;ALTTAN DİKME DÜĞME;20mm;32;3.1;12;;;;;;
;1783023;ALTTAN DİKME DÜĞME;23mm;36;3.82;12;;;;;;
;1784023;ALTTAN DİKME DÜĞME;23 mm;37;3.5;10;;;;;;
;17859015;ÜSTTEN DİKME DÜĞME;15mm;24;2;16;;;;;;
;17859019;ÜSTTEN DİKME DÜĞME;19 mm;30;1.08;14;;;;;;
;1786010.5;ALTTAN DİKME DÜĞME;10,5mm;18;1;36;;;;;;
;1786012;ALTTAN DİKME DÜĞME;12mm;20;1.7;32;;;;;;
;1786017;ALTTAN DİKME DÜĞME;17mm;28;3.25;20;;;;;;
;1786020;ALTTAN DİKME DÜĞME;20mm;32;4.67;20;;;;;;
;"1700721
";ÇIT ÇIT;21 mm;34;3.63;12;;;;;;
;1787720;ÇIT ÇIT;20 mm;32;2.73;12;;;;;;
;1787015.5;ALTTAN DİKME DÜĞME;15.5mm;24;1.57;16;;;;;;
;1787018;ALTTAN DİKME DÜĞME;18mm;28;2GR;12;;;;;;
;1787723;ALTTAN DİKME DÜĞME;23mm;36;3.33;12;;;;;;
;1788010;ALTTAN DİKME DÜĞME;10 mm;16;0.9;40;;;;;;
;1789010;ALTTAN DİKME DÜĞME;10 mm;16;0.9;40;;;;;;
;1790010;ALTTAN DİKME DÜĞME;10 mm;16;0.8;40;;;;;;
;1791010;ALTTAN DİKME DÜĞME;10 mm;16;0.8;40;;;;;;
;1792035;TOKA;35 mm;38;2.3;8;;;;;;
;1793024;TOKA;24 mm;38;2.36;10;;;;;;
;1794015;ALTTAN DİKME DÜĞME;15mm;24;1.9;16;;;;;;
;1794017;ALTTAN DİKME DÜĞME;17mm;28;2.1;12;;;;;;
;1794020;ALTTAN DİKME DÜĞME;20mm;32;3.1;12;;;;;;
;1794023;ALTTAN DİKME DÜĞME;23mm;36;4.7;12;;;;;;
;1794025;ALTTAN DİKME DÜĞME;25mm;40;5.2;10;;;;;;
;1795015;ALTTAN DİKME DÜĞME;15mm;24;1.92;16;;;;;;
;1795017;ALTTAN DİKME DÜĞME;17mm;28;2.36;12;;;;;;
;1795020;ALTTAN DİKME DÜĞME;20mm;32;3.07;12;;;;;;
;1795023;ALTTAN DİKME DÜĞME;23mm;36;4.5;12;;;;;;
;1795025;ALTTAN DİKME DÜĞME;25mm;40;4.46;10;;;;;;
;1796915;ÜSTTEN DİKME DÜĞME;15 mm;24;1.538;32;;;;;;
;1797018;ALTTAN DİKME DÜĞME;18 mm;28;2.07;20;;;;;;
;1798010 (TAŞLI);ALTTAN DİKME DÜĞME;10 mm;16;0.8;40;;;;;;
;1799021;AGRAF;21 mm;;5.2;6+6;;;;;;
;1800020;AGRAF;20 mm;;4.5;6+6GÖZ;;;;;;
;1801040;TOKA;40 mm;;14.5;2;;;;;;
ÜRÜN YOK ;1802050;TOKA;50 mm;;17,13.;4;;;;;;
;1803025;?;25 mm;14;ÜRÜN YOK;?;;;;;;
;1804012;ALTTAN DİKME DÜĞME;12 mm;;1.8;32;;;;;;
;1805012;ALTTAN DİKME DÜĞME;12 mm;;1.8;32;;;;;;
;1806015;TOKA;15mm;;9.7;2+2+2 Aynı kalıptalar;;;;;;
;1807015;ALTTAN DİKME DÜĞME;15mm;24;2.3;24;;;;;;
;1807020;ALTTAN DİKME DÜĞME;20mm;23;3.1;12;;;;;;
;1807015021.5;ALTTAN DİKME DÜĞME;21,5 mm;34;3.7; 12;;;;;;
;1808015;ALTTAN DİKME DÜĞME;15mm;24;1.5;16;;;;;;
;1808020;ALTTAN DİKME DÜĞME;20mm;32;2.9;12;;;;;;
;18080 22 ;ALTTAN DİKME DÜĞME; 22 mm;35;4.2; 12 ;;;;;;
;1809915;ÜSTTEN DİKME DÜĞME;15 mm;24;1.2;32;;;;;;
;1810006;AYAR;06 mm;10;0.01;42;;;;;;
;1811030;TOKA;30 mm;48;6.6;4;;;;;;
;1812027;ALTTAN DİKME DÜĞME;27mm;43;5.2;10;;;;;;
;1812025;ALTTAN DİKME DÜĞME;25mm;40;4.7;YOK;;;;;;
;1812023;ALTTAN DİKME DÜĞME;23mm;36;3.6;16;;;;;;
;1812020;ALTTAN DİKME DÜĞME;20MM;32;3;12;;;;;;
;1812017;ALTTAN DİKME DÜĞME;17mm;28;1.9;12;;;;;;
;1812015;ALTTAN DİKME DÜĞME;15mm;24;1.4;10;;;;;;
;1813030;ALTTAN DİKME DÜĞME;30mm;48;7.8;10;;;;;;
;1813025;ALTTAN DİKME DÜĞME;25mm;40;5.1;10;;;;;;
;1813020;ALTTAN DİKME DÜĞME;20mm;32;3.6;12;;;;;;
;1813016;ALTTAN DİKME DÜĞME;16mm;26;2.4;16;;;;;;
;1813015;ALTTAN DİKME DÜĞME;15mm;24;2;16;;;;;;
;1814015/22;ALTTAN DİKME DÜĞME;15 mm;24;1.9;16/12;;;;;;
;1816011;AGRAF;11 mm;18;1G;16;;;;;;
;1817009;ALTTAN DİKME DÜĞME;09 mm;14;0.4;40;;;;;;
;1818023;ALTTAN DİKME DÜĞME;23mm;36;2.8;12;;;;;;
;1818020;ALTTAN DİKME DÜĞME;20mm;32;2.4;24;;;;;;
;1818015;ALTTAN DİKME DÜĞME;15mm;24;1.5;16;;;;;;
;1819026.5;ALTTAN DİKME DÜĞME;26,5mm;42;7.8;8;;;;;;
;1819022;ALTTAN DİKME DÜĞME;22mm;36;5.2;10;;;;;;
;1819020;ALTTAN DİKME DÜĞME;20mm;32;3,8.;12GÖZ;;;;;;
;1819018;ALTTAN DİKME DÜĞME;18mm;32 göz;1.588;;;;;;;
;1819016;ALTTAN DİKME DÜĞME;16mm;26;1,7.;12GÖZ;;;;;;
;1819015;ALTTAN DİKME DÜĞME;15mm;24;1.2;16;;;;;;
;1819012;ALTTAN DİKME DÜĞME;12mm;20;1.1;32;;;;;;
;1819011;ALTTAN DİKME DÜĞME;11mm;18;0.9;32;;;;;;
;1820008;TOKA;08 mm;80;1.1;10;;;;;;
;1821050;TOKA;50 mm;29;8.2;6;;;;;;
;1822022;ALTTAN DİKME DÜĞME;22mm;36;5.2;12;;;;;;
;1822020;ALTTAN DİKME DÜĞME;20mm;32;3;12;;;;;;
;1805012;ALTTAN DİKME DÜĞME;12mm;20;1.8;32;;;;;;
;1822017;ALTTAN DİKME DÜĞME;17mm;20;2.3;16;;;;;;
;1822011;ALTTAN DİKME DÜĞME;11mm;18;1;40;;;;;;
;1823011;ALTTAN DİKME DÜĞME;11mm;18;1;36;;;;;;
;1823009;ALTTAN DİKME DÜĞME;8,9 mm;14;0.72;40;;;;;;
;1824013;HALKA;13 mm;28;1;12;;;;;;
;18250130;YAKALIK;13cm;;25.6;4;;;;;;
;1826025;ALTTAN DİKME DÜĞME;25mm;40;4.01;10;;;;;;
;1826023;ALTTAN DİKME DÜĞME;23mm;36;3.1;10;;;;;;
;1826020;ALTTAN DİKME DÜĞME;20mm;32;1.99;12;;;;;;
;1826015;ALTTAN DİKME DÜĞME;15mm;24;1.46;16;;;;;;
;1827018;ALTTAN DİKME DÜĞME;18 mm;28;2.13;12;;;;;;
;1828017;ALTTAN DİKME DÜĞME;17 mm;26;2.26.;20;;;;;;
;1829022;ALTTAN DİKME DÜĞME;22mm;36;4;10;;;;;;
;1829021;ALTTAN DİKME DÜĞME;21mm;34 boy;2,81.;24;;;;;;
;1829020;ALTTAN DİKME DÜĞME;20mm;32;3.27;12;;;;;;
;1829017;ALTTAN DİKME DÜĞME;17mm;28;2.7;12;;;;;;
;1829015;ALTTAN DİKME DÜĞME;15mm;24;1.7;16;;;;;;
;1829011;ALTTAN DİKME DÜĞME;11mm;18;1;32;;;;;;
;1830024;ALTTAN DİKME DÜĞME;24mm;38;2.5;10;;;;;;
;1830023;ALTTAN DİKME DÜĞME;23mm;36;2.4;12;;;;;;
;1830020;ALTTAN DİKME DÜĞME;20mm;32;2.1;12;;;;;;
;1830017;ALTTAN DİKME DÜĞME;17mm;28;1.8;12;;;;;;
;1830015;ALTTAN DİKME DÜĞME;15mm;24;1;16;;;;;;
;1830012;ALTTAN DİKME DÜĞME;12mm;20;1;32;;;;;;
;1831050;KEMER TOKASI;5cm;;30;4 ;;;;;;
;1832025;ALTTAN DİKME DÜĞME;25mm;40;3.6;10;;;;;;
;1832020;ALTTAN DİKME DÜĞME;20mm;32;1.9;12;;;;;;
;1833025;ALTTAN DİKME DÜĞME;25mm;40;1;8;;;;;;
;1834065;V BALEN;65mm;;6.83;4;;;;;;
;1835050;U BALEN;50mm;;8.37.;4;;;;;;
;1836040;KANCALI AYAR TOKASI;40mm;;39.19;8;;;;;;
;1837011;ALTTAN DİKME DÜĞME;11mm;18;0.82;32 göz maçalı zergold;;;;;;
;1838040;PRSİNG HALKASI;40mm;;5.1;8 ;;;;;;
;1839010;ALTTAN DİKME DÜĞME;10mm;16;?;40;;;;;;
;1839012;ALTTAN DİKME;12mm;20;1,10.;32;;;;;;
;1839014;ALTTAN DİKME DÜĞME;14mm;22;?;28;;;;;;
;1840025;ALTTAN DİKME DÜĞME;25mm;40;5.2;8 ;;;;;;
;1841012;HALKA;12mm;;0.3;42;;;;;;
;1969112;PLAKA;12mm;20;0.7;8+8 ;;;;;;
;1842115;PLAKA;15mm;;0.8;12+12 ;;;;;;
;1843025;ALTTAN DİKME DÜĞME;25mm;40;4.5;8 ;;;;;;
;1844085;PİRSİNG;85mm;;15.9;2 ;;;;;;
;1845011;ALTTAN DİKME DÜĞME;11mm;18;1.2;40 ;;;;;;
;1845015;ALTTAN DİKME DÜĞME;15mm;24;2.2;16;;;;;;
;1845017;ALTTAN DİKME DÜĞME;17mm;28;2.7;12;;;;;;
;1845019;ALTTAN DİKME DÜĞME;19mm;30;2.7;12;;;;;;
;1845020;ALTTAN DİKME DÜĞME;20mm;32;4.1;12;;;;;;
;1846020;ALTTAN DİKME DÜĞME;20mm;32 boy;3,78.;12;;;;;;
;1846011;ALTTAN DİKME DÜĞME;11mm;18;1;40;;;;;;
;1846016;ALTTAN DİKME DÜĞME;16mm;26;2.3;16;;;;;;
;1846022;ALTTAN DİKME DÜĞME;22mm;36;3.8;12;;;;;;
;1846025;ALTTAN DİKME DÜĞME;25mm;40;6.1;10;;;;;;
;1847105;RİVET;0.5mm;;0.34;22;;;;;;
;1848005;BAŞLANTI TOKASI;0.5mm;;3.92;6 ;;;;;;
;1849015;ALTTAN DİKME DÜĞME;15mm;24;2.1;24;;;;;;
;1849017;ALTTAN DİKME DÜĞME;17mm;28;3.27;20 ;;;;;;
;18500917;İKİ DELİKLİ DİKME DÜĞME;19mm;30;2.1;14 ;;;;;;
;1851912.5;ÜSTTEN DİKME DÜĞME;12,5mm;20;1;32 ;;;;;;
;1852017;SALLANTI;17mm;;1.3;12 ;;;;;;
;1853024;ALTTAN DİKME DÜĞME;24mm;38;3.9;10;;;;;;
;1853021;ALTTAN DİKME DÜĞME;21mm;34;2.9;12;;;;;;
;1853015;ALTTAN DİKME DÜĞME;15mm;24;1.6;16;;;;;;
;1853012;ALTTAN DİKME DÜĞME;12mm;20;1;32;;;;;;
;1854050;PİRSİNG;50MM CUBUK;?;CUBUK 10GR 04 GR UÇ;ÇUBUK 32/24 göz;;;;;;
;1855023;BLAZER DÜĞME;22.9mm;36;3.9;12;;;;;;
;1856016;DİKDÖRTGEN HALKA;16mm;;0.27;28;;;;;;
;1857010;ALTTAN DİKME DÜĞME;10.02mm;16;0.9;36;;;;;;
;1858030;ALTTAN DİKME;30mm;48;6.1;10;;;;;;
;1858024;ALTTAN DİKME;24mm;38;3.7;10;;;;;;
;1858018;ALTTAN DİKME DÜĞME;18mm;28;;;;;;;;
;1859925;ÜSTTEN DİKME DÜĞME;25.4mm;40;5.2;10;;;;;;
;1860015;ALTTAN DİKME DÜĞME;15.2mm;24;1.6;24;;;;;;
;1861016;DESENLİ HALKA;16mm;;1.6;12;;;;;;
;1862010;DESENLİ HALKA;5mm;;0.33;24;;;;;;
;1863025;ALTTAN DİKME DÜĞME;25.4mm;40;3.01;20;;;;;;
;1864020;TOKA;20mm;;7.5;TOKA 6/TOP 24;;;;;;
;1865040;KEMER TOKASI;40mm;;34.9;4 / DİL 12 göz;;;;;;
;1866040;KEMER TOKASI;40mm;;26.7;2;;;;;;
;18677023;BLAZER ÇAKMA DÜĞME;23mm;36;4.5;12;;;;;;
;1868015;AYAR TOKASI;15mm;;0.91;36;;;;;;
;1868012;AYAR TOKASI;12mm;;0.8;36;;;;;;
;1868010;AYAR TOKASI;10mm;;0.5;36;;;;;;
;1869010;AYAR KANCA;10mm;;0.5;34;E;;;;;
;1870010;TOKA;10mm;;3.9;6;;;;;;
;1871111;VİDALI RİVET;11mm;18;12;20;;;;;;
;1872015;SALLANTI;15mm;;0.5;12;;;;;;
;1873040;TOKA;40mm;;29.6;TOKA 4 GÖZ DİL 12 GÖZ;;;;;;
;1874045;KEMER TOKASI;45mm;;15.2;4 GÖZ//DİL 12 GÖZ;;;;;;
;187507;DİKME KANCA;7mm;;0.4;34;;;;;;
;187606.5;DİKDÖRTGEN HALKA;6.5mm;;0.24;60;;;;;;
;1877004;HALKA;4mm;;0.18;60;;;;;;
;1878820;BAĞ UCU;20mm;;2.7;12;;;;;;
;1879012;ALTTAN DİKME DÜĞME;12mm;20;0.8;32;;;;;;
0;1880012;ALTTAN DİKME DÜĞME;12mm;20;1,4.;32;;;;;;
;1881017;ÇAKMA DÜĞME KAFASI;17mm;28;2.16;12;;;;;;
;1882020;ALTTAN DİKME DÜĞME;20mm;32;3.3;12;;;;;;
;1883026;ALTTAN DİKME DÜĞME;26mm;40;5.8;10;;;;;;
;1884065;İÇ ÇAMAŞI KÖPRÜ;65mm;;13.7;4;;;;;;
;1885015;İKİ DELİKLİ DİKME DÜĞME;15mm;;0.9;16;;;;;;
;1886023;AYAR;23mm;;2.3;16;;;;;;
;188705;TOKA;5mm;;1.5;16;;;;;;
;1888040;TOKA;40mm;;22;2+2 ;;;;;;
;1889007;TOKA;7mm;;0.47;44;;;;;;
;189012;AYAR;12mm;;0.4;56;;;;;;
;1891020;ALTTAN DİKME DÜĞME;20mm;32 BOY;2.1;26;;;;;;
;1891017;ALTTAN DİKME DÜĞME;17mm;28 BOY;1.8;26;;;;;;
;1891015;ALTTAN DİKME DÜĞME;15mm;24 BOY;1.4;32;;;;;;
;1891010;ALTTAN DİKME DÜĞME;10mm;16 Boy  ;0.5;40;;;;;;
;1892043-K;TOKA;43MM;;14.3;8;;;;;;
;1892043;HALKA;43mm;;8.5;8;;;;;;
;1893032;AYAR;32mm;;1.5;16;;;;;;
;1894009;İNCİ KASASI;9mm;;0.8;50;;;;;;
;1895010;AYAR;10mm;;1.2;16;;;;;;
;189607;ALTTAN DİKME DÜĞME;7mm;;1;20;;;;;;
;189705;KURU KAFA PİRSİNG;50mm;;1.77;16/24;;;;;;
;189806;HALKA;60mm;;16.9;2;;;;;;
;1899010;ALTTAN DİKME DÜĞME;10.2mm;;0.7;40;;;;;;
;1900011.7;ALTTAN DİKME DÜĞME;11,7mm;20 boy;0.8;32;;;;;;
;1900011.5;ALTTAN DİKME DÜĞME;11.4mm;18 boy;0.9;32;;;;;;
;1901033;ALTTAN DİKME DÜĞME;33 mm;54 boy;6,378.;4;;;;;;
;1901023;ALTTAN DİKME DÜĞME;23MM;36BOY;3.18;12;;;;;;
;1901020;ALTTAN DİKME DÜĞME;20MM;32BOY;2.25;12;;;;;;
;1901017;ALTTAN DİKME DÜĞME;17MM;28BOY;1.68;12;;;;;;
;1901015;ALTTAN DİKME DÜĞME;15MM;24BOY;1.3;32;;;;;;
;1902024.5;ALTTAN DİKME DÜĞME;24,5mm;38 BOY;3.15;12;;;;;;
;1902020.5;ALTTAN DİKME DÜĞME;20,5 mm;32 BOY;2.19;24;;;;;;
;1902014;ALTTAN DİKME DÜĞME;14mm;20 BOY;0.9;16;;;;;;
;1903912;ÜSTTEN DİKME DÜĞME;12.7mm;20;0.8;40;;;;;;
;1904020;TOKA;20mm;;1.1;20;;;;;;
;1905022;BRİT;20mm;;1.1;24;;;;;;
;1906010;ALTTAN DİKME DÜĞME;10.02mm;16;1;40;;;;;;
;1907015;ÜSTTEN DİKME DÜĞME;15.2mm;24;2.1;32;;;;;;
;190802;TOKA;20mm;;1,6.;16;;;;;;
;1909018;ALTTAN DİKME DÜĞME;18mm;28;2.5;12;;;;;;
;1910009;ALTTAN DİKME DÜĞME;9mm;14;0.6;40;;;;;;
;19100011;ALTTAN DİKME DÜĞME;11mm;18;0.7;40;;;;;;
;1911050;HALKA;50mm;;14.2;2;;;;;;
ÜRÜN YOK ;1912030;TOKA;30mm;;8,30.;2;;;;;;
;1913075;YAN AKSESUAR;75mm;;2.44.;12;;;;;;
;1914070;YAN AKSESUAR;70mm;;3.33;12;;;;;;
;191509.9;SALLANTI;9,90mm;;0.46;16;;;;;;
;1916010;ALTTAN DİKME DÜĞME;10mm;;0.63;40;e;;;;;
;1916013;ALTTAN DİKME DÜĞME;13mm;;1,10.;32;;;;;;
;1916016;ALTTAN DİKME DÜĞME;16mm;;1.61;12;;;;;;
;1916015;ALTTAN DİKME DÜĞME;15mm;;1.556;12;;;;;;
;1916020;ALTTAN DİKME DÜĞME;20mm;;2.198;12;;;;;;
;1916018;ALTTAN DİKME DÜĞME;18mm;;2.08;12;;;;;;
;1917022;ALTTAN DİKME DÜĞME;22mm;;3.2;12;;;;;;
;1918012-15;ALTTAN DİKME DÜĞME;15mm;;1,20.;32/24GÖZ;;;;;;
;1919039.5;TOKA;39,50mm;;12.98;2;;;;;;
;1920023;ALTTAN DİKME DÜĞME;23mm;38;4.7;12;;;;;;
;192109;AYAR;9mm;;0.8;16;;;;;;
;1922028;TOKA;28mm;;9.75;2;;;;;;
;19230110;AKSESUAR;110mm;;72.4;1+1;;;;;;
;1924022;ALTTAN DİKME DÜĞME;22mm;;5.27;12;;;;;;
;1925912;DİKME DÜĞME;12mm;;0.5;40;;;;;;
;1926015;ALTTAN DİKME DÜĞME;15mm;26;1.6;16;;;;;;
;1927037.5;TOKA;37,50mm;;5.2;2;;;;;;
;1928043.5;TOKA;43,50mm;;9.3;2;;;;;;
;192909;TOKA;9mm;;16,90.;2;;;;;;
;1930050;TOKA;50mm;;23;4;;;;;;
;1931011;STOPER;11mm;;2,40  1,20;12 - 34GÖZ;;;;;;
;1932-818;HUNİ BAĞUCU;18mm;;1.84;16;;;;;;
;1933020;TOKA;20mm;;4.98;12;;;;;;
;1934040;TOKA;40mm;;12,30.;tek göz çoklu kalıpta;;;;;;
;1935064;TOKA;64mm;;9.2;COKLU KALIP TEK GÖZ;;;;;;
;1935056;TOKA;56mm;;7;tek göz çoklu kalıpta;;;;;;
;1935045;TOKA;45mm;;5.82;tek göz çoklu kalıpta;;;;;;
;1935037;TOKA;37mm;;4.24;tek göz çoklu kalıpta;;;;;;
